Provider,Fraud,inp_claim_count,inp_avg_reimbursed,inp_avg_deductible,inp_avg_claim_duration,inp_avg_los,inp_avg_diag_codes,inp_avg_proc_codes,inp_unique_beneficiaries,inp_unique_physicians_per100,out_claim_count,out_avg_reimbursed,out_avg_deductible,out_avg_claim_duration,out_avg_diag_codes,out_unique_beneficiaries,out_unique_physicians_per100,avg_age,pct_deceased,avg_chronic_conditions,avg_ip_reimbursement,avg_op_reimbursement,inpatient_to_outpatient_ratio,total_claims
PRV51001,0,5.0,19400.0,1068.0,5.0,5.0,7.2,0.6,5.0,80.0,20.0,382.0,0.0,0.55,2.2,19.0,50.0,78.58761122518823,0.0,5.541666666666667,18047.916666666668,2537.5,0.23809523809523808,25.0
PRV51003,1,62.0,9241.935483870968,1068.0,5.161290322580645,5.161290322580645,8.112903225806452,0.7741935483870968,53.0,3.225806451612903,70.0,466.7142857142857,1.0,2.357142857142857,2.7142857142857144,66.0,62.857142857142854,69.39153021288544,0.008547008547008548,4.367521367521367,6814.017094017094,2490.5982905982905,0.8732394366197183,132.0
PRV51004,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.0,350.13422818791946,2.0805369127516777,1.429530201342282,2.5838926174496644,138.0,25.503355704697988,72.86395063932784,0.007246376811594203,4.318840579710145,4596.739130434783,2095.144927536232,0.0,149.0
PRV51005,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1165.0,241.1244635193133,3.1759656652360513,1.088412017167382,2.5888412017167384,495.0,0.5150214592274678,70.43540400583522,0.006060606060606061,3.8848484848484848,3717.2323232323233,1798.8080808080808,0.0,1165.0
PRV51007,0,3.0,6333.333333333333,1068.0,5.333333333333333,5.333333333333333,7.333333333333333,0.3333333333333333,3.0,66.66666666666666,69.0,213.18840579710144,0.8695652173913043,0.7681159420289855,2.7971014492753623,56.0,11.594202898550725,68.4044466473129,0.017241379310344827,3.8793103448275863,3109.655172413793,1497.2413793103449,0.04285714285714286,72.0
PRV51008,0,2.0,12500.0,1068.0,4.0,4.0,7.5,1.0,2.0,100.0,41.0,259.2682926829268,4.390243902439025,1.4146341463414633,2.951219512195122,34.0,19.51219512195122,75.16016427104722,0.0,4.083333333333333,7235.0,2624.722222222222,0.047619047619047616,43.0
PRV51011,0,1.0,5000.0,1068.0,5.0,5.0,8.0,0.0,1.0,100.0,57.0,204.03508771929825,5.2631578947368425,0.47368421052631576,2.43859649122807,52.0,47.368421052631575,73.63274056280913,0.018867924528301886,4.528301886792453,3774.3396226415093,1434.1509433962265,0.017241379310344827,58.0
PRV51012,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,351.875,2.0833333333333335,3.7083333333333335,2.5625,31.0,29.166666666666668,76.01430747830695,0.0,4.387096774193548,4785.4838709677415,2440.3225806451615,0.0,48.0
PRV51013,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,323.4782608695652,5.0,1.4565217391304348,2.5434782608695654,44.0,19.565217391304348,74.48167506689067,0.0,4.386363636363637,3800.909090909091,3260.2272727272725,0.0,46.0
PRV51014,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,349.3333333333333,4.0,0.4666666666666667,3.6666666666666665,25.0,23.333333333333332,72.27411362080767,0.04,4.0,2703.6,1667.2,0.0,30.0
PRV51015,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,87.5,0.0,0.375,3.125,7.0,37.5,72.23897526156253,0.0,6.571428571428571,1355.7142857142858,1550.0,0.0,8.0
PRV51016,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,28.333333333333332,0.0,0.3333333333333333,3.5,6.0,50.0,70.75062742413871,0.0,5.5,0.0,878.3333333333334,0.0,6.0
PRV51017,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,515.0,277.126213592233,2.0388349514563107,1.3572815533980582,2.704854368932039,420.0,21.941747572815533,72.73575828688766,0.011904761904761904,4.247619047619048,3225.1428571428573,2224.0238095238096,0.0,515.0
PRV51021,1,29.0,9275.862068965518,1068.0,4.793103448275862,4.758620689655173,8.517241379310345,0.7586206896551724,23.0,24.137931034482758,228.0,350.13157894736844,2.280701754385965,1.644736842105263,2.780701754385965,187.0,29.385964912280706,73.74981572158164,0.004807692307692308,4.461538461538462,4290.961538461538,2387.980769230769,0.12663755458515283,257.0
